"OTU","kingdom","phylum","class","order","family","genus","species","exploration_type","guild","guild2"
"ITSall_OTUj_931","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius",NA,"medium-distance_fringe","Ectomycorrhizal","Ectomycorrhizal"
"ITSall_OTUm_1869","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella",NA,"medium-distance_smooth","Ectomycorrhizal","Ectomycorrhizal"
"ITSall_OTUa_581","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Lactarius",NA,"medium-distance_smooth","Ectomycorrhizal","Ectomycorrhizal"
"ITSall_OTUb_2083","Fungi","Glomeromycota","Glomeromycetes","Diversisporales",NA,NA,NA,NA,"Arbuscular Mycorrhizal","Arbuscular Mycorrhizal"
"ITSall_OTUa_1255","Fungi","Basidiomycota","Agaricomycetes","Boletales","Sclerodermataceae","Scleroderma",NA,"long-distance","Ectomycorrhizal","Ectomycorrhizal"
"ITSall_OTUf_14","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae",NA,NA,NA,"Arbuscular Mycorrhizal","Arbuscular Mycorrhizal"
"ITSall_OTUf_11","Fungi","Glomeromycota","Glomeromycetes","Glomerales",NA,NA,NA,NA,"Arbuscular Mycorrhizal","Arbuscular Mycorrhizal"
"ITSall_OTUj_548","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula",NA,"contact","Ectomycorrhizal","Ectomycorrhizal"
"ITSall_OTUd_3965","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Bolbitiaceae","Descolea","Descolea_recedens","short-distance_delicate","Ectomycorrhizal","Ectomycorrhizal"
"ITSall_OTUj_26487","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius",NA,"medium-distance_fringe","Ectomycorrhizal","Ectomycorrhizal"
"ITSall_OTUk_1642","Fungi","Basidiomycota","Agaricomycetes","Hymenochaetales","Hymenochaetaceae","Coltricia",NA,"short-distance_coarse","Ectomycorrhizal-Wood Saprotroph","Ectomycorrhizal"
"ITSall_OTUe_4441","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula",NA,"contact","Ectomycorrhizal","Ectomycorrhizal"
"ITSall_OTUn_1693","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae",NA,NA,NA,"Arbuscular Mycorrhizal","Arbuscular Mycorrhizal"
"ITSall_OTUa_762","Fungi","Basidiomycota","Agaricomycetes","Boletales","Sclerodermataceae","Scleroderma",NA,"long-distance","Ectomycorrhizal","Ectomycorrhizal"
"ITSall_OTUn_1678","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae",NA,NA,NA,"Arbuscular Mycorrhizal","Arbuscular Mycorrhizal"
"ITSall_OTUj_644","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentellopsis",NA,"medium-distance_smooth","Ectomycorrhizal","Ectomycorrhizal"
"ITSall_OTUj_286","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella",NA,"medium-distance_smooth","Ectomycorrhizal","Ectomycorrhizal"
"ITSall_OTUj_9587","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae",NA,NA,NA,"Arbuscular Mycorrhizal","Arbuscular Mycorrhizal"
"ITSall_OTUf_1054","Fungi","Glomeromycota","Glomeromycetes","Glomerales",NA,NA,NA,NA,"Arbuscular Mycorrhizal","Arbuscular Mycorrhizal"
"ITSall_OTUj_26677","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe","Inocybe_brunneidisca","short-distance_delicate","Ectomycorrhizal","Ectomycorrhizal"
"ITSall_OTUm_3073","Fungi","Basidiomycota","Agaricomycetes","Boletales","Boletaceae","Ionosporus",NA,NA,"Ectomycorrhizal-Fungal Parasite-Plant Saprotroph-Wood Saprotroph","Ectomycorrhizal"
"ITSall_OTUa_9946","Fungi","Glomeromycota","Glomeromycetes","Glomerales",NA,NA,NA,NA,"Arbuscular Mycorrhizal","Arbuscular Mycorrhizal"
