"kingdom","phylum","class","order","family","genus","species","SH_species","OTU","exploration_type","Ecm_lineage","mean_gs"
"Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella","unknown","Tomentella_sp","ITSall_OTUj_6306","medium-distance_smooth","/tomentella-thelephora","unknown"
"Fungi","Basidiomycota","Agaricomycetes","Sebacinales","Sebacinaceae","Sebacina","unknown","Sebacina_sp","ITSall_OTUj_392","short-distance_delicate","/sebacina","unknown"
"Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","unknown","Russulaceae_sp","ITSall_OTUb_26","contact","/russula-lactarius","51.2346153846154"
"Fungi","Glomeromycota","Glomeromycetes","unknown","unknown","unknown","unknown","Glomeromycota_sp","ITSall_OTUm_14471","unknown","unknown","unknown"
"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius","unknown","Cortinarius_sp","ITSall_OTUj_272","medium-distance_fringe","/cortinarius","62.89"
"Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella","unknown","Tomentella_sp","ITSall_OTUa_242","medium-distance_smooth","/tomentella-thelephora","unknown"
"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius","unknown","Cortinarius_sp","ITSall_OTUm_6301","medium-distance_fringe","/cortinarius","62.89"
"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hydnangiaceae","Laccaria","unknown","Laccaria_alba","ITSall_OTUa_1016","short-distance_delicate","/laccaria","57.595"
"Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentellopsis","unknown","Tomentellopsis_zygodesmoides","ITSall_OTUj_175","medium-distance_smooth","/tomentellopsis","unknown"
"Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiales_fam_Incertae_sedis","Acephala","unknown","Acephala_sp","ITSall_OTUa_2917","unknown","unknown","73.68"
"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius","unknown","Cortinarius_sp","ITSall_OTUa_8076","medium-distance_fringe","/cortinarius","62.89"
"Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella","unknown","Tomentella_lapida","ITSall_OTUm_1869","medium-distance_smooth","/tomentella-thelephora","unknown"
"Fungi","Basidiomycota","Agaricomycetes","Boletales","Pisolithaceae","Pisolithus","unknown","Pisolithus_sp","ITSall_OTUj_19782","long-distance","/pisolithus-scleroderma","80.2764285714286"
"Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","unknown","unknown","Rhizophagus_sp","ITSall_OTUf_14","unknown","unknown","unknown"
"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","unknown","unknown","Cortinarius_sp","ITSall_OTUm_89","unknown","unknown","unknown"
"Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula","unknown","Russula_sp","ITSall_OTUj_548","contact","/russula-lactarius","51.2346153846154"
"Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","unknown","unknown","Glomeraceae_sp","ITSall_OTUn_1693","unknown","unknown","unknown"
"Fungi","Basidiomycota","Agaricomycetes","Boletales","Sclerodermataceae","Scleroderma","unknown","Scleroderma_albidum","ITSall_OTUa_762","long-distance","/pisolithus-scleroderma","59.13"
